epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,5421.38,0.60715,1.39534,0.45164,0.97692,0.91181,0.8334,0.88093,0.76631,0.90941,0.83065,0.87364,0.64635,0.75429,1.62662,0.66595,1.09552,0.003334,0.003334,0.003334
103,5469.49,0.60929,1.40598,0.45111,0.97566,0.91807,0.83377,0.88457,0.77135,0.90992,0.82378,0.87298,0.65517,0.71698,1.59268,0.63531,1.06517,0.003268,0.003268,0.003268
104,5517.83,0.59853,1.38095,0.44114,0.96806,0.94652,0.80191,0.87632,0.75544,0.93882,0.79584,0.86624,0.64276,0.74801,1.66503,0.66448,1.09075,0.003202,0.003202,0.003202
105,5565.87,0.59529,1.37087,0.43699,0.96991,0.92636,0.82909,0.88467,0.76648,0.92114,0.82401,0.8734,0.66018,0.74055,1.58436,0.65283,1.07922,0.003136,0.003136,0.003136
106,5614.08,0.59604,1.38711,0.44493,0.96936,0.93105,0.79457,0.87419,0.75215,0.91944,0.78675,0.85594,0.63855,0.7515,1.67958,0.68122,1.1003,0.00307,0.00307,0.00307
107,5666.97,0.59538,1.35278,0.43798,0.96725,0.9088,0.82453,0.87978,0.76562,0.913,0.81296,0.86822,0.65189,0.72898,1.6126,0.66589,1.06955,0.003004,0.003004,0.003004
108,5715.13,0.57496,1.35336,0.41993,0.95427,0.95422,0.82005,0.88609,0.7714,0.93902,0.81945,0.87675,0.65922,0.7352,1.62075,0.65084,1.07996,0.002938,0.002938,0.002938
109,5763.72,0.58231,1.33623,0.43096,0.95443,0.93706,0.81632,0.88278,0.76424,0.93435,0.8139,0.86975,0.64889,0.73884,1.63012,0.65638,1.07774,0.002872,0.002872,0.002872
110,5811.43,0.58808,1.37584,0.44122,0.96811,0.94878,0.81128,0.88424,0.77283,0.94127,0.80611,0.8727,0.65669,0.72729,1.6027,0.64439,1.07415,0.002806,0.002806,0.002806
111,5859.69,0.57094,1.33619,0.42794,0.96204,0.93997,0.8177,0.88009,0.76533,0.93193,0.81075,0.86678,0.65015,0.73748,1.61586,0.66365,1.0765,0.00274,0.00274,0.00274
112,5907.94,0.56669,1.28542,0.41797,0.9595,0.92468,0.82762,0.88296,0.77117,0.92163,0.82573,0.87441,0.65982,0.72007,1.60859,0.65976,1.06538,0.002674,0.002674,0.002674
113,5974.02,0.57134,1.31319,0.42332,0.9564,0.92678,0.80649,0.87562,0.75898,0.92095,0.798,0.8628,0.64361,0.74503,1.61839,0.69062,1.08011,0.002608,0.002608,0.002608
114,6022.08,0.56081,1.32346,0.42125,0.9513,0.92657,0.81258,0.87815,0.76986,0.92386,0.80575,0.8679,0.66076,0.71468,1.60194,0.6571,1.07261,0.002542,0.002542,0.002542
115,6070.29,0.56722,1.30836,0.41758,0.95199,0.90792,0.8285,0.87863,0.76848,0.91055,0.82074,0.87076,0.65701,0.71326,1.60998,0.68568,1.06643,0.002476,0.002476,0.002476
116,6118.58,0.5558,1.31698,0.4113,0.95075,0.93286,0.80527,0.87693,0.76264,0.9268,0.80215,0.86773,0.65748,0.73526,1.62965,0.69371,1.09222,0.00241,0.00241,0.00241
117,6227.27,0.56126,1.30332,0.41562,0.94927,0.93465,0.78952,0.87054,0.75627,0.92948,0.78766,0.85853,0.64711,0.74694,1.64392,0.71311,1.0913,0.002344,0.002344,0.002344
118,6275.55,0.56967,1.33095,0.42442,0.95663,0.9042,0.82735,0.87945,0.768,0.9323,0.80256,0.87074,0.66008,0.71674,1.59302,0.67167,1.06291,0.002278,0.002278,0.002278
119,6323.4,0.54787,1.27308,0.40786,0.9479,0.94739,0.81165,0.88147,0.77039,0.94427,0.80962,0.87104,0.65316,0.72615,1.61539,0.6524,1.07424,0.002212,0.002212,0.002212
120,6371.53,0.55352,1.27815,0.4083,0.94421,0.94906,0.80856,0.87817,0.76671,0.93776,0.80896,0.86772,0.64938,0.71835,1.61174,0.66851,1.0668,0.002146,0.002146,0.002146
121,6420.02,0.54749,1.29453,0.39862,0.94983,0.93112,0.81843,0.8822,0.77089,0.9298,0.81585,0.87317,0.65996,0.7031,1.56522,0.67105,1.0616,0.00208,0.00208,0.00208
122,6468.23,0.55208,1.27657,0.40409,0.94572,0.94065,0.81623,0.88461,0.77717,0.93523,0.81573,0.87229,0.65727,0.69796,1.59488,0.67983,1.06606,0.002014,0.002014,0.002014
123,6516.21,0.54597,1.27599,0.40527,0.95445,0.93537,0.82148,0.88447,0.77807,0.92841,0.81602,0.8718,0.65708,0.69581,1.59023,0.64418,1.06057,0.001948,0.001948,0.001948
124,6564.3,0.5436,1.28662,0.40412,0.94445,0.94342,0.82147,0.8881,0.78652,0.93909,0.81789,0.87649,0.67804,0.66491,1.57697,0.64345,1.03661,0.001882,0.001882,0.001882
125,6612.31,0.52883,1.2408,0.38798,0.94532,0.91784,0.84553,0.88993,0.78723,0.90956,0.83899,0.87808,0.66906,0.68752,1.59388,0.64759,1.04814,0.001816,0.001816,0.001816
126,6660.42,0.53144,1.25756,0.39058,0.93696,0.93963,0.82347,0.88926,0.78307,0.93131,0.81675,0.87633,0.66785,0.69361,1.58747,0.65364,1.05647,0.00175,0.00175,0.00175
127,6708.9,0.53864,1.24649,0.39339,0.94102,0.96077,0.82346,0.89051,0.78387,0.95254,0.81648,0.87622,0.66386,0.68696,1.57479,0.64946,1.05469,0.001684,0.001684,0.001684
